times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;
1582887600;1582909200;1582930800;3.460266113;1.2588653564453125;-9.277614594;2.3373165130615234;8.428693771362305;9.699304580688477;4.175702343;8.522184032;13.42202078
1582891200;1582912800;1582934400;3.116781234741211;0.23194122314453125;-11.10445404;4.0865631103515625;8.643005371;10.281476974487305;5.139486679;8.646116965;15.13332972
1582894800;1582916400;1582938000;1.015676498413086;-1.361122131;-13.36873817;4.600896835327148;8.922592163085938;10.70773696899414;4.711671724;9.025813225;17.12830381
1582898400;1582920000;1582941600;-0.501731873;-2.382287979;-12.94789314;5.887310028076172;9.765579223632812;11.465072631835938;5.908650797;10.0519567;17.29438716
1582902000;1582923600;1582945200;0.42476844787597656;-1.116292953;-13.24807358;7.093578338623047;11.849580764770508;11.097602844238281;7.106284675;11.90204496;17.28202079
1582905600;1582927200;1582948800;1.3733539581298828;-5.841205597;-14.08112907;7.164192199707031;10.441047668457031;11.302837371826172;7.294638508;11.9639107;18.05636532
1582909200;1582930800;1582952400;1.115905762;-9.45734024;-14.71008873;8.231351852416992;10.025161743164062;10.940900802612305;8.306647879;13.78205908;18.33275813
1582912800;1582934400;1582956000;0.19028854370117188;-10.33946419;-15.47961807;7.959718704223633;11.275579452514648;11.300285339355469;7.96199294;15.29847089;19.16546437
1582916400;1582938000;1582959600;-1.249895096;-12.50465775;-15.24661446;8.282058715820312;10.518198013305664;11.447410583496094;8.375842305;16.34010265;19.06574052
1582920000;1582941600;1582963200;-0.517879486;-12.72405815;-15.47392464;11.277212142944336;11.14976692199707;11.820037841796875;11.28909708;16.91800692;19.47191922
1582923600;1582945200;1582966800;-2.13653183;-13.53367615;-16.25154305;11.037958145141602;10.370437622070312;11.840072631835938;11.24283275;17.05011339;20.10721192
1582927200;1582948800;1582970400;-4.832777023;-14.34209061;-16.08005142;10.260478973388672;10.32552719116211;12.72888184;11.34165607;17.6723534;20.50835163
1582930800;1582952400;1582974000;-9.05995369;-15.48608208;-16.87652588;9.302032470703125;10.229320526123047;13.272815704345703;12.98501324;18.55957264;21.47055571
1582934400;1582956000;1582977600;-8.353919983;-14.45380783;-17.15025902;11.653579711914062;11.633323669433594;14.038810729980469;14.33854592;18.55388855;22.16347426
1582938000;1582959600;1582981200;-11.45219994;-15.42915726;-17.05216408;9.978551864624023;12.05743408203125;15.675443649291992;15.18961424;19.58163962;23.1623797
1582941600;1582963200;1582984800;-12.58473778;-15.73633385;-16.26732826;11.250141143798828;12.116945266723633;15.913623809814453;16.8802044;19.86082993;22.75674387
1582945200;1582966800;1582988400;-13.2394619;-15.86279488;-15.39230156;11.726585388183594;12.473556518554688;16.069801330566406;17.68604411;20.17964007;22.25222376
1582948800;1582970400;1582992000;-13.47316933;-16.51173782;-14.27147675;11.403255462646484;13.332063674926758;16.363933563232422;17.65107722;21.2221914;21.712977
1582952400;1582974000;1582995600;-14.13726044;-17.30750275;1.7492084503173828;11.717241287231445;13.004390716552734;10.273895263671875;18.36180481;21.64864497;10.42173949
1582956000;1582977600;1582999200;-13.34815216;-17.49257469;7.042469024658203;10.832502365112305;13.895275115966797;6.725402832;17.19058677;22.3398487;9.737936805
1582959600;1582981200;1583002800;-15.35686684;-17.19424629;3.6888484954833984;12.273719787597656;15.056276321411133;5.763469696044922;19.65903244;22.85461796;6.842893113
1582963200;1582984800;1583006400;-16.2816658;-16.5587883;4.283885955810547;12.104557037353516;15.576034545898438;9.464582443237305;20.28824641;22.73337463;10.38893641
1582966800;1582988400;1583010000;-16.63340759;-15.32501793;3.244262695;12.098026275634766;16.000564575195312;9.289043426513672;20.56775359;22.15568192;9.839286977
1582970400;1582992000;1583013600;-16.1487236;-14.11506271;2.473623275756836;12.804651260375977;16.341018676757812;9.965145111083984;20.60923016;21.59314444;10.26756686
1582974000;1582995600;1583017200;-16.74990654;-1.348169327;0.598571777;13.35360336303711;12.898260116577148;10.573562622070312;21.42144;12.96852631;10.59049171
1582977600;1582999200;1583020800;-16.2320137;6.797063827514648;0.4373512268066406;12.668130874633789;6.002950668334961;9.916460037231445;20.59028433;9.068378764;9.926099726
1582981200;1583002800;1583024400;-16.76174355;5.336122512817383;-2.096456528;15.000307083129883;4.715959548950195;10.610271453857422;22.49367154;7.121409828;10.81540523
1582984800;1583006400;1583028000;-15.48369598;6.895229339599609;-3.470643997;16.181459426879883;8.749284744262695;11.193231582641602;22.39608159;11.13975633;11.71895059
1582988400;1583010000;1583031600;-14.17622757;5.679491043;-5.102453232;16.541658401489258;8.903259277;10.893081665039062;21.78513004;10.56052292;12.0288926
1582992000;1583013600;1583035200;-13.51478958;4.037998199462891;-7.297521591;16.311262130737305;9.339696884155273;11.252054214477539;21.18270072;10.17523304;13.41128426
1582995600;1583017200;1583038800;-8.264328003;2.221332550048828;-8.263032913;15.95860481262207;9.855768203735352;10.912717819213867;17.97153819;10.10299387;13.68813804
1582999200;1583020800;1583042400;8.671230316;-0.620674133;-11.68082237;5.196821212768555;9.945131301879883;10.560892105102539;10.10926238;9.964480568;15.74719192
1583002800;1583024400;1583046000;4.747610092163086;-2.22082901;-10.6060524;4.703710556030273;10.856727600097656;10.927499771118164;6.683165012;11.08154392;15.22821719
1583006400;1583028000;1583049600;6.703468322753906;-4.288356781;0.038778305;8.486904144;10.95831298828125;10.63137435913086;10.81499096;11.76752427;10.63144508
1583010000;1583031600;1583053200;3.794374465942383;-6.033287048;2.225667953491211;7.471712112426758;11.386558532714844;12.490840911865234;8.379961783;12.88620455;12.68758072
1583013600;1583035200;1583056800;2.490732192993164;-8.531265259;1.6726150512695312;8.903253555297852;11.02939224243164;12.582820892333984;9.245089006;13.94381512;12.69350317
1583017200;1583038800;1583060400;0.8952751159667969;-10.75021553;3.843782424926758;9.457998275756836;10.419429779052734;10.297464370727539;9.500276255;14.97102705;10.99147105
1583020800;1583042400;1583064000;0.7019729614257812;-10.07983589;1.5578975677490234;8.028518676757812;9.826368332;11.678716659545898;8.059148726;14.07695302;11.78216736
1583024400;1583046000;1583067600;-0.750221252;-8.064750671;0.6943778991699219;8.997810363769531;11.075014114379883;8.800720215;9.029032244;13.70022412;8.828070965
1583028000;1583049600;1583071200;-3.166309357;-5.835420609;4.159154891967773;9.915966033935547;10.566629409790039;9.180053711;10.40922174;12.07086537;10.0782913
1583031600;1583053200;1583074800;-5.233409882;2.412069320678711;5.489767074584961;10.686290740966797;10.835628509521484;6.230827331542969;11.89896587;11.10085238;8.304261061
1583035200;1583056800;1583078400;-7.048303604;2.0814037322998047;5.008089065551758;10.622177124023438;11.693225860595703;5.543769836425781;12.74791083;11.87702709;7.47089955
1583038800;1583060400;1583082000;-8.222700119;0.2824268341064453;4.767692565917969;10.768936157226562;11.475824356079102;5.799373626708984;13.54927242;11.47929918;7.507571303
1583042400;1583064000;1583085600;-10.36008644;2.488220215;4.937652587890625;8.285690307617188;10.99926758;7.423398971557617;13.2658982;11.277195;8.915563099
1583046000;1583067600;1583089200;-9.775693893;4.334255218505859;4.130863189697266;10.21272087097168;9.085191727;7.615474700927734;14.13732148;10.06610535;8.663687761
1583049600;1583071200;1583092800;-7.335617065;7.720348358154297;2.6878795623779297;9.834877014160156;6.337032318115234;8.601005554199219;12.26931472;9.988080765;9.011214851
1583053200;1583074800;1583096400;-0.532138824;6.516803741455078;4.103763580322266;9.334402084350586;7.050128936767578;8.995508193969727;9.349557958;9.600679613;9.88736786
1583056800;1583078400;1583100000;2.2415218353271484;6.194486618041992;3.793224334716797;12.033130645751953;7.301246643066406;9.018049240112305;12.24012472;9.574960418;9.783341093
1583060400;1583082000;1583103600;0.5042095184326172;4.923858642578125;5.174459457397461;10.963336944580078;7.564849853515625;7.267335891723633;10.97492525;9.026147419;8.921278027
