times1_sh;times1_mh;times1_lh;times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;;;;;;;;;;;;;;;;;;
1578042000;1578063600;1578085200;16.32452393;23.042099;14.44862366;-4.55871582;-7.726715088;-10.32363892;16.94909943;24.30309553;17.75782211;16.94909943;17.00117508;17.05325074;17.1053264;17.15740206;17.20947772;13.97537741;19.31159973;15.44927978;15.52750905;15.60573832;15.68396759;15.76219686;15.84042612;12.78195228;12.3;-0.481952284;-1.675377411;13.97537741;-0.557347217
1578045600;1578067200;1578088800;16.97615051;21.11653137;14.01602173;-3.125946045;-10.27122498;-9.907821655;17.26155337;23.48203483;17.16431749;17.26155337;17.50446534;17.74737731;17.99028927;18.23320124;18.47611321;14.02337108;19.89831924;15.91865539;16.09077377;16.26289215;16.43501053;16.60712891;16.77924729;12.79887568;12.8;0.00112432;-1.223371083;14.02337108;-0.101501394
1578049200;1578070800;1578092400;18.63543701;19.83375549;13.63339233;-1.767028809;-10.6605072;-9.940826416;18.71902517;22.51719944;16.87274182;18.71902517;18.48581909;18.252613;18.01940692;17.78620083;17.55299475;14.07136476;21.18920708;16.95136566;17.15918554;17.36700541;17.57482529;17.78264516;17.99046504;12.81579908;12.7;-0.115799076;-1.371364755;14.07136476;-0.245655579
1578052800;1578074400;1578096000;17.00401306;17.48155212;13.26549911;-3.292205811;-11.41459656;-10.72134399;17.31978866;20.87816274;17.05639715;17.31978866;17.77917929;18.23856991;18.69796054;19.15735116;19.61674179;14.11935843;22.74785614;18.19828491;18.31332957;18.42837423;18.54341888;18.65846354;18.7735082;12.83272247;12.7;-0.132722472;-1.419358428;14.11935843;-0.289809756
1578056400;1578078000;1578099600;18.98377991;15.3301239;13.17106438;-6.532012939;-11.43663025;-10.96435547;20.07613241;19.12613945;17.13750354;20.07613241;20.37337996;20.67062751;20.96787506;21.26512261;21.56237017;14.16821142;23.61069107;18.88855286;18.98051249;19.07247213;19.16443176;19.2563914;19.34835104;12.8737058;12;-0.8737058;-2.168211423;14.16821142;-1.034754506
1578060000;1578081600;1578103200;20.23605347;14.38426208;12.9348917;-8.267105103;-10.75907898;-11.50334167;21.85961772;17.96287216;17.31006334;21.85961772;22.08773792;22.31585812;22.54397833;22.77209853;23.00021873;14.21706442;24.30038834;19.44031067;19.72417425;20.00803782;20.2919014;20.57576498;20.85962855;12.91468913;12.7;-0.214689128;-1.517064418;14.21706442;-0.379699266
1578063600;1578085200;1578106800;21.65921021;14.36351013;7.774463654;-8.39251709;-10.09567261;-14.84153748;23.22833894;17.55656654;16.75450745;23.22833894;23.32798199;23.42762503;23.52726808;23.62691113;23.72655417;14.26591741;26.42936516;21.14349213;21.03375448;20.92401683;20.81427918;20.70454153;20.59480387;12.95567246;12.6;-0.355672456;-1.665917413;14.26591741;-0.524644017
1578067200;1578088800;1578110400;21.66946411;13.88664246;7.884883881;-9.905654907;-10.14888;-15.14941406;23.82619722;17.19995942;17.07852863;23.82619722;23.58305313;23.33990903;23.09676494;22.85362085;22.61047675;14.31477041;25.60633278;20.48506622;20.35638962;20.22771301;20.09903641;19.9703598;19.8416832;12.99665578;12.8;-0.196655784;-1.514770408;14.31477041;-0.369588777
1578070800;1578092400;1578114000;18.96398926;13.69056702;7.64713192;-11.86021423;-10.19674683;-14.68218994;22.36733266;17.07059668;16.55431449;22.36733266;21.69663665;21.02594064;20.35524462;19.68454861;19.0138526;14.3636234;24.64125824;19.71300659;19.49444987;19.27589315;19.05733642;18.8387797;18.62022298;13.03763911;12.3;-0.737639112;-2.063623403;14.3636234;-0.914533528
1578074400;1578096000;1578117600;14.39860535;13.17244911;3.815795898;-11.36448669;-10.173172;-14.21566772;18.34315659;16.64352259;14.71888267;18.34315659;18.16959854;17.9960405;17.82248245;17.6489244;17.47536636;14.4124764;23.00208282;18.40166626;18.16799418;17.9343221;17.70065002;17.46697795;17.23330587;13.07862244;12.2;-0.87862244;-2.212476398;14.4124764;-1.059478288
1578078000;1578099600;1578121200;13.17713928;13.31095219;4.233279228;-11.21229553;-10.49150085;-14.97229004;17.30180831;16.94854089;15.55924555;17.30180831;17.26154681;17.22128532;17.18102382;17.14076233;17.10050083;14.07308851;21.24954224;16.99963379;16.84461212;16.68959046;16.53456879;16.37954712;16.22452545;13.12041321;12.2;-0.920413211;-1.873088507;14.07308851;-0.747241429
1578081600;1578103200;1578124800;13.23280334;13.9259119;3.616843224;-10.76776123;-10.79530334;-14.07182312;17.06023934;17.62014746;14.52920372;17.06023934;17.03813316;17.01602698;16.99392081;16.97181463;16.94970845;13.73370062;20.08687973;16.06950378;16.0153979;15.96129201;15.90718613;15.85308024;15.79897436;13.16220398;12.2;-0.962203981;-1.533700615;13.73370062;-0.43500457
