times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh;;;
1577977200;1577998800;1578020400;10.3309021;14.22111511;19.71141052;12.90730286;10.28347778;-2.168212891;16.53257407;17.54964474;19.83030136
1577980800;1578002400;1578024000;10.54852295;13.10472107;19.79911804;13.0572052;-3.363967896;-4.136016846;16.78576611;13.52959698;20.22651009
1577984400;1578006000;1578027600;10.88409424;14.97647095;15.51203918;12.76017761;-2.602172852;-9.887512207;16.77157238;15.20085476;18.39527813
1577988000;1578009600;1578031200;10.92076111;17.03010559;16.20082092;11.22851563;-2.760162354;-5.13067627;15.66341554;17.25233296;16.99383528
1577991600;1578013200;1578034800;11.73805237;18.26509094;12.91545105;11.80122375;-2.370452881;-6.886306763;16.64484171;18.41826794;14.63660127
1577995200;1578016800;1578038400;12.69400024;19.04937744;17.66316223;11.46878052;-2.339172363;-4.811981201;17.10761727;19.19245967;18.3068966
1577998800;1578020400;1578042000;15.17631531;19.59472656;17.46206665;-2.139602661;-2.546615601;-4.082977295;15.32639703;19.75951821;17.93305538
1578002400;1578024000;1578045600;13.62255859;19.07020569;18.01646423;-2.290802002;-3.683761597;-2.703872681;13.81382917;19.4227404;18.21823018
1578006000;1578027600;1578049200;15.76622009;18.23854065;19.18823242;-3.449813843;-4.209091187;-0.950073242;16.13923516;18.7179276;19.21173867
1578009600;1578031200;1578052800;15.27606201;15.86552429;16.99125671;-2.945922852;-6.088882446;-6.995162964;15.55752333;16.9938033;18.37484992
1578013200;1578034800;1578056400;17.05651855;16.13887024;19.78614807;-2.351730347;-4.789108276;-6.966567993;17.217882;16.83444952;20.97676632
1578016800;1578038400;1578060000;18.59724426;17.44111633;19.66355896;-2.315979004;-3.313980103;-6.412200928;18.74089787;17.75316882;20.68264663
1578020400;1578042000;1578063600;18.9994812;16.93009949;20.76768494;-3.507247925;-2.958877563;-6.048812866;19.32048327;17.18671653;21.63064665
1578024000;1578045600;1578067200;18.47999573;17.67016602;20.48913574;-3.916763306;-1.898147583;-9.050064087;18.89050759;17.77182409;22.39884692
1578027600;1578049200;1578070800;18.20651245;18.99691772;20.28707886;-3.928482056;-1.576934814;-10.31271362;18.62552192;19.06225607;22.75780373
1578031200;1578052800;1578074400;14.70985413;20.41821289;17.79042053;-3.874298096;-2.895111084;-11.55209351;15.21150861;20.62244132;21.21202318
1578034800;1578056400;1578078000;13.71217346;20.9702301;15.4296875;-5.312515259;-4.675811768;-11.43106079;14.70532283;21.48519877;19.20271874
1578038400;1578060000;1578081600;15.35466003;21.28713989;14.79559612;-4.280349731;-6.20942688;-10.66307068;15.94010598;22.17429383;18.23761884
1578042000;1578063600;1578085200;16.32452393;23.042099;14.44862366;-4.55871582;-7.726715088;-10.32363892;16.94909943;24.30309553;17.75782211
1578045600;1578067200;1578088800;16.97615051;21.11653137;14.01602173;-3.125946045;-10.27122498;-9.907821655;17.26155337;23.48203483;17.16431749
1578049200;1578070800;1578092400;18.63543701;19.83375549;13.63339233;-1.767028809;-10.6605072;-9.940826416;18.71902517;22.51719944;16.87274182
1578052800;1578074400;1578096000;17.00401306;17.48155212;13.26549911;-3.292205811;-11.41459656;-10.72134399;17.31978866;20.87816274;17.05639715
1578056400;1578078000;1578099600;18.98377991;15.3301239;13.17106438;-6.532012939;-11.43663025;-10.96435547;20.07613241;19.12613945;17.13750354
1578060000;1578081600;1578103200;20.23605347;14.38426208;12.9348917;-8.267105103;-10.75907898;-11.50334167;21.85961772;17.96287216;17.31006334
1578063600;1578085200;1578106800;21.65921021;14.36351013;7.774463654;-8.39251709;-10.09567261;-14.84153748;23.22833894;17.55656654;16.75450745
1578067200;1578088800;1578110400;21.66946411;13.88664246;7.884883881;-9.905654907;-10.14888;-15.14941406;23.82619722;17.19995942;17.07852863
1578070800;1578092400;1578114000;18.96398926;13.69056702;7.64713192;-11.86021423;-10.19674683;-14.68218994;22.36733266;17.07059668;16.55431448
1578074400;1578096000;1578117600;14.39860535;13.17244911;3.815795898;-11.36448669;-10.173172;-14.21566772;18.34315659;16.64352259;14.71888267
1578078000;1578099600;1578121200;13.17713928;13.31095219;4.233279228;-11.21229553;-10.49150085;-14.97229004;17.30180831;16.94854089;15.55924555
