times2_sh;times2_mh;times2_lh;relative_humidity_2m_sh;relative_humidity_2m_mh;relative_humidity_2m_lh;cloud_base_altitude_sh;cloud_base_altitude_mh;cloud_base_altitude_lh;wind_speed_of_gust_sh;wind_speed_of_gust_mh;wind_speed_of_gust_lh
1577836800;1577858400;1577880000;0.8402308225631714;0.840949535;0.854911208;733.6986694335938;658.0363159179688;659.5160522460938;15.751389503479004;16.837018966674805;18.10196304321289
1577840400;1577862000;1577883600;0.7978267073631287;0.825384796;0.8608469367027283;813.6127319335938;658.5330200195312;734.0208740234375;15.92126178741455;16.80942153930664;18.06317901611328
1577844000;1577865600;1577887200;0.8004364967346191;0.8367225527763367;0.8762280941009521;733.0830078;526.5405883789062;815.5302124023438;16.602325439453125;16.553129196166992;18.21878433227539
1577847600;1577869200;1577890800;0.8081732988357544;0.826087236;0.87979126;813.5702514648438;526.5426025390625;997.5660400390625;16.58501625061035;17.507652282714844;18.002283096313477
1577851200;1577872800;1577894400;0.8441687226295471;0.8193736672401428;0.8723217844963074;658.5595703;590.0284423828125;998.5532227;16.16553307;17.8364315;17.531410217285156
1577854800;1577876400;1577898000;0.833762527;0.8399422764778137;0.8643261790275574;589.5355224609375;527.0265502929688;735.5314941;16.926532745361328;18.134305953979492;17.680171966552734
1577858400;1577880000;1577901600;0.840949535;0.854911208;0.8696972131729126;658.0363159179688;659.5160522460938;735.5095215;16.837018966674805;18.10196304321289;17.85696792602539
1577862000;1577883600;1577905200;0.825384796;0.8608469367027283;0.8706431984901428;658.5330200195312;734.0208740234375;10103.52246;16.80942153930664;18.06317901611328;18.022146224975586
1577865600;1577887200;1577908800;0.8367225527763367;0.8762280941009521;0.8691787123680115;526.5405883789062;815.5302124023438;2468.022216796875;16.553129196166992;18.21878433227539;17.700923919677734
1577869200;1577890800;1577912400;0.826087236;0.87979126;0.8726581335067749;526.5426025390625;997.5660400390625;2094.045166015625;17.507652282714844;18.002283096313477;18.007497787475586
1577872800;1577894400;1577916000;0.8193736672401428;0.8723217844963074;0.8560947775840759;590.0284423828125;998.5532227;8605.044922;17.8364315;17.531410217285156;18.464168548583984
1577876400;1577898000;1577919600;0.8399422764778137;0.8643261790275574;0.812164843;527.0265502929688;735.5314941;10697.15234;18.134305953979492;17.680171966552734;18.861215591430664
1577880000;1577901600;1577923200;0.854911208;0.8696972131729126;0.8374329209327698;659.5160522460938;735.5095215;9.969209968386869e+36;18.10196304321289;17.85696792602539;18.947589874267578
1577883600;1577905200;1577926800;0.8608469367027283;0.8706431984901428;0.8576279878616333;734.0208740234375;10103.52246;9.969209968386869e+36;18.06317901611328;18.022146224975586;19.180553436279297
1577887200;1577908800;1577930400;0.8762280941009521;0.8691787123680115;0.8578646183013916;815.5302124023438;2468.022216796875;9.969209968386869e+36;18.21878433227539;17.700923919677734;19.414426803588867
1577890800;1577912400;1577934000;0.87979126;0.8726581335067749;0.8446877598762512;997.5660400390625;2094.045166015625;9.969209968386869e+36;18.002283096313477;18.007497787475586;20.267683029174805
1577894400;1577916000;1577937600;0.8723217844963074;0.8560947775840759;0.8318244814872742;998.5532227;8605.044922;9.969209968386869e+36;17.531410217285156;18.464168548583984;20.271156311035156
1577898000;1577919600;1577941200;0.8643261790275574;0.812164843;0.82161653;735.5314941;10697.15234;9.969209968386869e+36;17.680171966552734;18.861215591430664;20.665075302124023
1577901600;1577923200;1577944800;0.8696972131729126;0.8374329209327698;0.8123080730438232;735.5095215;9.969209968386869e+36;9.969209968386869e+36;17.85696792602539;18.947589874267578;20.61481475830078
1577905200;1577926800;1577948400;0.8706431984901428;0.8576279878616333;0.8146268725395203;10103.52246;9.969209968386869e+36;9.969209968386869e+36;18.022146224975586;19.180553436279297;20.38344955444336
1577908800;1577930400;1577952000;0.8691787123680115;0.8578646183013916;0.8101553916931152;2468.022216796875;9.969209968386869e+36;9.969209968386869e+36;17.700923919677734;19.414426803588867;20.194753646850586
1577912400;1577934000;1577955600;0.8726581335067749;0.8446877598762512;0.8082026243209839;2094.045166015625;9.969209968386869e+36;1105.839355;18.007497787475586;20.267683029174805;20.377233505249023
1577916000;1577937600;1577959200;0.8560947775840759;0.8318244814872742;0.8112391829490662;8605.044922;9.969209968386869e+36;9.969209968386869e+36;18.464168548583984;20.271156311035156;20.378080368041992
1577919600;1577941200;1577962800;0.812164843;0.82161653;0.8184717297554016;10697.15234;9.969209968386869e+36;10601.25586;18.861215591430664;20.665075302124023;20.387292861938477
1577923200;1577944800;1577966400;0.83531785;0.8212958574295044;0.8252171874046326;10703.14746;3383.778809;2269.111328;18.519424438476562;20.11340332;21.702728271484375
1577926800;1577948400;1577970000;0.8348454833030701;0.8200596570968628;0.8600685000419617;3895.196533203125;3379.787353515625;1462.6439208984375;19.69983482;20.295921325683594;21.496685028076172
1577930400;1577952000;1577973600;0.8124459981918335;0.8171905279159546;0.8824991583824158;3901.757568359375;10646.75195;1909.1622314453125;19.801115036010742;20.42322540283203;21.58068084716797
1577934000;1577955600;1577977200;0.8175274729728699;0.8127962946891785;0.8745798468589783;9.969209968386869e+36;10076.25;2860.227539;19.77631187438965;20.521949768066406;21.69625473022461
1577937600;1577959200;1577980800;0.8204415440559387;0.8091496229171753;0.8581308722496033;10134.27734;10618.69922;1332.7794189453125;19.771991729736328;20.929868698120117;21.97984504699707
1577941200;1577962800;1577984400;0.8198158740997314;0.8095920085906982;0.8547735810279846;9.969209968386869e+36;2889.658447265625;1213.3277587890625;19.72177505493164;21.587858200073242;22.369674682617188
