times2_sh;times2_mh;times2_lh;x_wind_10m_sh;x_wind_10m_mh;x_wind_10m_lh;y_wind_10m_sh;y_wind_10m_mh;y_wind_10m_lh
1611273600.0;1611295200.0;1611316800.0;-3.036090850830078;2.4372177124023438;7.55219841003418;-7.977027893066406;-4.477989196777344;-12.412593841552734
1611277200.0;1611298800.0;1611320400.0;-1.9628868103027344;3.312253952026367;8.181495666503906;-9.050918579101562;-5.428510665893555;-12.320819854736328
1611280800.0;1611302400.0;1611324000.0;1.7691612243652344;2.655773162841797;8.675731658935547;-11.548574447631836;-12.678159713745117;-10.641792297363281
1611284400.0;1611306000.0;1611327600.0;3.6256256103515625;5.596532821655273;10.561502456665039;-10.388896942138672;-12.872177124023438;-11.364240646362305
1611288000.0;1611309600.0;1611331200.0;4.6457366943359375;7.440847396850586;12.559825897216797;-7.748540878295898;-13.317239761352539;-9.940238952636719
1611291600.0;1611313200.0;1611334800.0;4.450962066650391;8.06321907043457;10.694408416748047;-5.5584259033203125;-12.506940841674805;-10.675117492675781
1611295200.0;1611316800.0;1611338400.0;2.3728580474853516;7.281391143798828;11.8626708984375;-3.547109603881836;-13.164682388305664;-9.808216094970703
1611298800.0;1611320400.0;1611342000.0;2.9566993713378906;8.304332733154297;10.473255157470703;-5.07691764831543;-13.054868698120117;-8.81759262084961
1611302400.0;1611324000.0;1611345600.0;3.5927257537841797;8.466228485107422;10.582893371582031;-11.751808166503906;-11.642314910888672;-8.113065719604492
1611306000.0;1611327600.0;1611349200.0;5.3727569580078125;9.663145065307617;11.485267639160156;-12.439733505249023;-10.664947509765625;-7.890924453735352
1611309600.0;1611331200.0;1611352800.0;6.210838317871094;11.016359329223633;12.877296447753906;-13.102527618408203;-9.40377426147461;-7.597843170166016
1611313200.0;1611334800.0;1611356400.0;6.286228179931641;10.059688568115234;12.731597900390625;-13.213035583496094;-11.218887329101562;-8.097137451171875
1611316800.0;1611338400.0;1611360000.0;7.267778396606445;11.013626098632812;12.388750076293945;-12.86469841003418;-9.72918701171875;-6.340173721313477
1611320400.0;1611342000.0;1611363600.0;7.714914321899414;10.882694244384766;12.219484329223633;-12.525684356689453;-8.638986587524414;-5.421115875244141
1611324000.0;1611345600.0;1611367200.0;8.254011154174805;10.806268692016602;11.811813354492188;-11.261632919311523;-7.949743270874023;-4.115198135375977
1611327600.0;1611349200.0;1611370800.0;8.270845413208008;12.081241607666016;11.52287483215332;-10.62319564819336;-7.506929397583008;-3.1359500885009766
1611331200.0;1611352800.0;1611374400.0;9.527589797973633;12.638206481933594;11.016693115234375;-9.313098907470703;-7.26495361328125;-2.370431900024414
1611334800.0;1611356400.0;1611378000.0;10.20277214050293;13.155803680419922;10.563467025756836;-11.42507553100586;-6.759395599365234;-2.003263473510742
1611338400.0;1611360000.0;1611381600.0;10.768732070922852;12.125808715820312;10.035572052001953;-8.353214263916016;-6.209438323974609;-2.508045196533203
1611342000.0;1611363600.0;1611385200.0;11.641365051269531;11.707342147827148;10.307235717773438;-7.431861877441406;-6.186746597290039;-1.5809650421142578
1611345600.0;1611367200.0;1611388800.0;11.542255401611328;11.427242279052734;9.833690643310547;-7.434200286865234;-4.613298416137695;-1.5030097961425781
1611349200.0;1611370800.0;1611392400.0;11.891304016113281;11.307767868041992;9.388936996459961;-7.35466194152832;-3.0116405487060547;-1.0178642272949219
1611352800.0;1611374400.0;1611396000.0;12.29524040222168;10.846708297729492;8.901176452636719;-7.445310592651367;-2.844484329223633;-0.726531982421875
1611356400.0;1611378000.0;1611399600.0;12.459278106689453;10.66164779663086;8.014968872070312;-6.683418273925781;-2.5609359741210938;-0.3723945617675781
1611360000.0;1611381600.0;1611403200.0;11.55398941040039;9.057735443115234;8.601165771484375;-5.208879470825195;-3.666940689086914;-0.031209945678710938
1611363600.0;1611385200.0;1611406800.0;11.2935791015625;9.061502456665039;8.464725494384766;-5.397710800170898;-3.6606826782226562;0.139068603515625
1611367200.0;1611388800.0;1611410400.0;11.267913818359375;9.39431381225586;8.09672737121582;-4.581098556518555;-1.808145523071289;0.42027854919433594
1611370800.0;1611392400.0;1611414000.0;10.967622756958008;9.281011581420898;8.05057144165039;-3.726442337036133;-1.3248138427734375;0.7582206726074219
1611374400.0;1611396000.0;1611417600.0;10.641035079956055;8.828163146972656;7.385034561157227;-3.6449127197265625;-0.9302425384521484;1.0764446258544922
1611378000.0;1611399600.0;1611421200.0;10.065502166748047;8.819669723510742;6.702428817749023;-3.64678955078125;-0.36712646484375;1.200399398803711
1611381600.0;1611403200.0;1611424800.0;9.810379028320312;8.357257843017578;6.29730224609375;-1.9460792541503906;1.0016860961914062;1.2739887237548828
1611385200.0;1611406800.0;1611428400.0;9.648557662963867;8.214689254760742;6.068134307861328;-0.5944385528564453;1.0229721069335938;1.3938522338867188
1611388800.0;1611410400.0;1611432000.0;9.548967361450195;7.993564605712891;3.4303016662597656;0.09687995910644531;0.9585514068603516;2.930736541748047
1611392400.0;1611414000.0;1611435600.0;9.383867263793945;7.926145553588867;6.13102912902832;-0.5082550048828125;1.2188129425048828;1.9168739318847656
1611396000.0;1611417600.0;1611439200.0;8.704883575439453;7.49561882019043;5.541912078857422;-0.2355213165283203;1.1467113494873047;2.442387580871582
1611399600.0;1611421200.0;1611442800.0;8.51213264465332;6.7327728271484375;5.451627731323242;0.440521240234375;1.0858592987060547;1.8740205764770508
1611403200.0;1611424800.0;1611446400.0;8.260059356689453;7.408893585205078;5.488309860229492;-0.4904308319091797;0.6375026702880859;1.9342069625854492
1611406800.0;1611428400.0;1611450000.0;8.619390487670898;7.068294525146484;5.423255920410156;-0.6475086212158203;0.6975498199462891;3.003085136413574
1611410400.0;1611432000.0;1611453600.0;8.906797409057617;6.664726257324219;5.34510612487793;-0.4427165985107422;1.0459718704223633;3.1189756393432617
1611414000.0;1611435600.0;1611457200.0;8.728496551513672;6.1188507080078125;5.038049697875977;-0.08461380004882812;1.4004287719726562;2.757761001586914
1611417600.0;1611439200.0;1611460800.0;8.355123519897461;6.165105819702148;4.445278167724609;-0.1574554443359375;2.6559696197509766;3.035964012145996
