times1_sh;times1_mh;times1_lh;wind_speed_10m_sh;wind_speed_10m_mh;wind_speed_10m_lh;wind_direction_10m_sh;wind_direction_10m_mh;wind_direction_10m_lh;air_pressure_at_sea_level_sh;air_pressure_at_sea_level_mh;air_pressure_at_sea_level_lh;air_temperature_2m_sh;air_temperature_2m_mh;air_temperature_2m_lh;times2_sh;times2_mh;times2_lh;specific_convective_available_potential_energy_sh;specific_convective_available_potential_energy_mh;specific_convective_available_potential_energy_lh;atmosphere_convective_inhibition_sh;atmosphere_convective_inhibition_mh;atmosphere_convective_inhibition_lh
1578405600.0;1578427200.0;1578448800.0;22.574604034423828;19.419511795043945;20.48838233947754;192.70358276367188;215.15133666992188;264.92266845703125;99038.3125;98308.3125;98857.875;281.4626159667969;282.7244873046875;281.11016845703125;1578405600.0;1578427200.0;1578448800.0;2.578125;45.484375;21.6875;1000.0000610351562;1000.0000610351562;1000.0001831054688
1578409200.0;1578430800.0;1578452400.0;22.609643936157227;18.15304183959961;20.10555648803711;196.78724670410156;218.42886352539062;260.2053527832031;98895.75;98347.9375;99027.75;281.8713684082031;282.8526306152344;280.8257751464844;1578409200.0;1578430800.0;1578452400.0;0.40625;27.0390625;50.1953125;1000.0000610351562;1000.0000610351562;1000.0003051757812
1578412800.0;1578434400.0;1578456000.0;21.67422866821289;18.341934204101562;20.005203247070312;197.70565795898438;224.49862670898438;256.1825866699219;98739.625;98363.125;99178.6875;282.08184814453125;282.8055419921875;280.70025634765625;1578412800.0;1578434400.0;1578456000.0;0.0;26.2734375;53.5546875;1000.0000610351562;1000.0001831054688;1000.0001220703125
1578416400.0;1578438000.0;1578459600.0;20.70551300048828;17.875507354736328;19.960630416870117;199.62619018554688;223.74168395996094;251.67074584960938;98585.875;98367.8125;99300.0625;282.30401611328125;282.5471496582031;280.5923156738281;1578416400.0;1578438000.0;1578459600.0;11.6171875;10.8984375;46.5078125;1000.0000610351562;1000.0003051757812;1000.0000610351562
1578420000.0;1578441600.0;1578463200.0;20.41506576538086;19.820755004882812;20.44792366027832;201.73861694335938;232.2707977294922;248.25253295898438;98352.25;98353.625;99395.125;282.5641784667969;282.3214111328125;280.568359375;1578420000.0;1578441600.0;1578463200.0;15.125;44.6875;130.859375;1000.0000610351562;1000.0001831054688;22.54688262939453
1578423600.0;1578445200.0;1578466800.0;20.90978240966797;19.995765686035156;21.043100357055664;226.64889526367188;271.51812744140625;245.02223205566406;98358.1875;98595.6875;99479.1875;282.7264404296875;281.7882385253906;280.64398193359375;1578423600.0;1578445200.0;1578466800.0;153.34375;10.703125;179.3046875;34.70327377319336;1000.0;1.3750089406967163
1578427200.0;1578448800.0;1578470400.0;19.213415145874023;20.838651657104492;21.168193817138672;219.01483154296875;264.7180480957031;245.18258666992188;98323.9375;98861.875;99548.3125;282.9490966796875;281.1177978515625;280.6129455566406;1578427200.0;1578448800.0;1578470400.0;5.828125;46.0390625;169.015625;1000.0;1000.0000610351562;1.2656283378601074
1578430800.0;1578452400.0;1578474000.0;17.641517639160156;20.571041107177734;20.822214126586914;225.72047424316406;260.0657958984375;245.00445556640625;98300.5625;99044.625;99643.9375;282.9823303222656;280.84332275390625;280.5854797363281;1578430800.0;1578452400.0;1578474000.0;1.09375;49.1640625;147.484375;1000.0000610351562;1000.0001220703125;14.781250953674316
1578434400.0;1578456000.0;1578477600.0;17.31432342529297;20.141572952270508;21.17134666442871;227.91180419921875;256.3948669433594;242.43942260742188;98320.1875;99206.875;99691.0625;282.9610290527344;280.6449279785156;280.6283264160156;1578434400.0;1578456000.0;1578477600.0;19.5;58.0546875;143.3515625;1000.0000610351562;1000.0000610351562;4.640632629394531
1578438000.0;1578459600.0;1578481200.0;16.795509338378906;19.992197036743164;21.25172233581543;219.91094970703125;251.81533813476562;244.61203002929688;98300.6875;99320.25;99730.125;282.7330627441406;280.61956787109375;280.5913391113281;1578438000.0;1578459600.0;1578481200.0;48.375;113.4453125;228.25;1000.0003662109375;107.59375762939453;0.015638254582881927
