2.779970584712602431e+04 1.897359505152364818e+03 1.070205586416084770e+03 3.076727093869447708e+04 3.076727091143682992e+04 5.000000000000000000e-01 2.779970584712602431e+04 1.509126580591462471e+03
2.693717357395229919e+04 2.599910241235914782e+03 8.966714786367414263e+02 3.043375529382495370e+04 3.043375526982051451e+04 4.921399657260856486e-01 2.693717357395229919e+04 2.070148639075852316e+03
2.646878979291415817e+04 2.487361012278976432e+03 1.159194835275780633e+03 3.011534564046891319e+04 3.011534561643976849e+04 4.813579415642328385e-01 2.646878979291415817e+04 1.981906327402038642e+03
2.639958906717822538e+04 2.840580968514811047e+03 5.718434169809302148e+02 2.981201345267396755e+04 2.981201342988492252e+04 4.710355127756811200e-01 2.639958906717822538e+04 2.265536014311230247e+03
2.648407647293730770e+04 2.739497254660478120e+03 2.992694668163101710e+02 2.952284319441409389e+04 2.952284317170067879e+04 4.592358460344776461e-01 2.648407647293730770e+04 2.186478366266621379e+03
2.619099236359886345e+04 2.158840384178388831e+03 8.969429944569856161e+02 2.924677574223423653e+04 2.924677571815625197e+04 4.478479378768391861e-01 2.619099236359886345e+04 1.723574709616131031e+03
2.582137699023636014e+04 1.913137031922253072e+03 1.248237844275614862e+03 2.898275186643422785e+04 2.898275184179790813e+04 4.388709862642543591e-01 2.582137699023636014e+04 1.527985193887738205e+03
2.560792963216710996e+04 2.165811077619686330e+03 8.964064827070103547e+02 2.867014719249380869e+04 2.867014716871833662e+04 4.309127300460886545e-01 2.560792963216710996e+04 1.730934385556739471e+03
2.545885650219359377e+04 2.012632331382781558e+03 8.966828591954099466e+02 2.836817169277178618e+04 2.836817166879551951e+04 4.218974467879816892e-01 2.545885650219359377e+04 1.609178432219332535e+03
2.549648266992211575e+04 2.213307992068777821e+03 3.610358333511527462e+02 2.807082649534204756e+04 2.807082647213089513e+04 4.135163091201716767e-01 2.549648266992211575e+04 1.770727002437965666e+03
2.559776141095861385e+04 2.174665586591147530e+03 6.136524841109149836e-02 2.777248836279817260e+04 2.777248833978000039e+04 4.042937726491397932e-01 2.559776141095861385e+04 1.740644919472146967e+03
2.555095063771028435e+04 1.919727962195798000e+03 0.000000000000000000e+00 2.747067859990608122e+04 2.747067857650581936e+04 3.952279136935561432e-01 2.555095063771028435e+04 1.537039965872679204e+03
2.534626395703439630e+04 1.456526364117920366e+03 3.616958622492139170e+02 2.716448618340152825e+04 2.716448615889887515e+04 3.872224972046351965e-01 2.534626395703439630e+04 1.166255216155882408e+03
2.516768666599419885e+04 1.588684688834427561e+03 5.720548662588532807e+02 2.732842622108747673e+04 2.732842619677524999e+04 3.811482512871573469e-01 2.516768666599419885e+04 1.272590260620048639e+03
